"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NC_047627.1:604660-609620"	2175.08721597289	-0.0906895344512599	0.118955301557949	-0.762383292409047	0.445831274962654	0.999937540335271
"NC_047627.1:609980-634640"	13216.6036578475	0.180824113898563	0.0664768836574261	2.72010515460382	0.00652611593411355	0.573734796509839
"NC_047627.1:634910-644160"	3609.8039996773	-0.0360041647040206	0.107860763952791	-0.333802240820201	0.738528792392236	0.999937540335271
"NC_047627.1:644240-649000"	2022.95486566563	0.094924451617132	0.12206564241135	0.777650858521231	0.436774869785348	0.999937540335271
"NC_047627.1:649280-659330"	3718.34775639659	0.0394898257524032	0.0973640613695517	0.405589343716025	0.685044359977919	0.999937540335271
"NC_047627.1:659550-667450"	4396.77059905793	-0.0287947337697243	0.0923049631684246	-0.311952172248678	0.755076871732377	0.999937540335271
"NC_047627.1:667790-672290"	2301.30623884686	0.0853455204746128	0.116206862323518	0.734427543848591	0.462688204814425	0.999937540335271
"NC_047627.1:672370-673500"	447.997278063511	0.364730513822747	0.252619781164203	1.44379237501465	0.148797387498133	0.999937540335271
"NC_047627.1:676660-679700"	1180.28517997743	0.302698323252625	0.15553964046203	1.94611690211872	0.0516406987201067	0.999937540335271
"NC_047627.1:679760-683020"	1152.43714757992	0.438633668274412	0.156551717113714	2.80184514332604	0.00508112571829501	0.47397981891271
"NC_047627.1:683230-688150"	2046.82046762917	0.176775434284744	0.124857288439491	1.41581990522254	0.156828240096977	0.999937540335271
"NC_047627.1:688200-695110"	3162.82870656167	0.12487843516679	0.123690754898662	1.00960201325556	0.312686004688389	0.999937540335271
"NC_047627.1:695670-697450"	788.165607551745	0.10729123848902	0.235755789093316	0.455094820371738	0.649041024219924	0.999937540335271
"NC_047627.1:697890-703260"	1813.17249327078	0.220882114118199	0.148882473468631	1.48360051369471	0.137914933040953	0.999937540335271
"NC_047627.1:704480-705900"	590.261340066721	-0.0951635010134706	0.230564870701783	-0.412740677813651	0.67979661846218	0.999937540335271
